record_id,phase,property,calculated_value,reference_value,unit,signed_error_calc_minus_ref,absolute_error,relative_error_percent,provenance_level,directly_comparable,comparability_limit,origin_role,assessment,error_formula
AL_LAT_EXP_AMBIENT,Al,lattice_a,4.0501993705343,4.05,A,0.000199370534300414,0.000199370534300414,0.00492272924198552,PREVIEW_ONLY,YES_WITH_CAVEAT,temperature-mismatched relative to static 0 K calculation,DIRECT_EXPERIMENTAL_BENCHMARK_REPORTED_IN_SOURCE,GOOD_AGREEMENT,calc-reference; abs(calc-reference); abs(calc-reference)/abs(reference)*100
AL_LAT_EXP_0K_CORRECTED,Al,lattice_a,4.0501993705343,4.022,A,0.0281993705343,0.0281993705343,0.701128059032819,PREVIEW_ONLY,YES,correction model is part of the literature benchmark,DIRECT_EXPERIMENTAL_BENCHMARK_REPORTED_IN_SOURCE,GOOD_AGREEMENT,calc-reference; abs(calc-reference); abs(calc-reference)/abs(reference)*100
AL_COH_EXP_AMBIENT,Al,cohesive_energy_magnitude,3.58000259037433,3.39,eV/atom,0.19000259037433,0.19000259037433,5.60479617623393,PREVIEW_ONLY,YES_WITH_CAVEAT,temperature-mismatched and zero-point contribution differs from static calculation,DIRECT_EXPERIMENTAL_BENCHMARK_REPORTED_IN_SOURCE,ACCEPTABLE_FOR_RELATIVE_TRENDS,calc-reference; abs(calc-reference); abs(calc-reference)/abs(reference)*100
AL_COH_EXP_0K_CORRECTED,Al,cohesive_energy_magnitude,3.58000259037433,3.43,eV/atom,0.15000259037433,0.15000259037433,4.37325336368309,PREVIEW_ONLY,YES,corrected experimental benchmark; residual convention caveat,DIRECT_EXPERIMENTAL_BENCHMARK_REPORTED_IN_SOURCE,ACCEPTABLE_FOR_RELATIVE_TRENDS,calc-reference; abs(calc-reference); abs(calc-reference)/abs(reference)*100
CU_LAT_COD_293K,Cu,lattice_a,3.61496012307914,3.613,A,0.00196012307914017,0.00196012307914017,0.0542519534774474,VERIFIED_OFFICIAL_DATABASE,YES_WITH_CAVEAT,temperature-mismatched relative to static 0 K calculation,OFFICIAL_DATABASE_RECORD,GOOD_AGREEMENT,calc-reference; abs(calc-reference); abs(calc-reference)/abs(reference)*100
CU_COH_EXP,Cu,cohesive_energy_magnitude,3.53999498221362,3.49,eV/atom,0.0499949822136196,0.0499949822136196,1.43252098033294,VERIFIED_PRIMARY_FULLTEXT,YES_WITH_CAVEAT,reference convention and finite-temperature correction are not expanded in Table III,DIRECT_EXPERIMENTAL_BENCHMARK_REPORTED_IN_SOURCE,GOOD_AGREEMENT,calc-reference; abs(calc-reference); abs(calc-reference)/abs(reference)*100
AL2CU_LAT_COD_A,Al2Cu,lattice_a,6.16211209391453,6.067,A,0.0951120939145298,0.0951120939145298,1.56769563069935,VERIFIED_OFFICIAL_DATABASE,YES_WITH_CAVEAT,temperature unspecified,OFFICIAL_DATABASE_RECORD,ACCEPTABLE_FOR_RELATIVE_TRENDS,calc-reference; abs(calc-reference); abs(calc-reference)/abs(reference)*100
AL2CU_LAT_COD_C,Al2Cu,lattice_c,4.97862300082581,4.877,A,0.101623000825811,0.101623000825811,2.08371951662519,VERIFIED_OFFICIAL_DATABASE,YES_WITH_CAVEAT,temperature unspecified,OFFICIAL_DATABASE_RECORD,ACCEPTABLE_FOR_RELATIVE_TRENDS,calc-reference; abs(calc-reference); abs(calc-reference)/abs(reference)*100
AL2CU_LAT_DFT_JING2025_A,Al2Cu,lattice_a,6.16211209391453,6.075,A,0.0871120939145298,0.0871120939145298,1.43394393274946,VERIFIED_PRIMARY_FULLTEXT,YES_WITH_CAVEAT,method-mismatched: DFT versus Zhou04 EAM/alloy,DIRECT_CALCULATION,ACCEPTABLE_FOR_RELATIVE_TRENDS,calc-reference; abs(calc-reference); abs(calc-reference)/abs(reference)*100
AL2CU_LAT_DFT_JING2025_C,Al2Cu,lattice_c,4.97862300082581,4.87,A,0.10862300082581,0.10862300082581,2.23045176233697,VERIFIED_PRIMARY_FULLTEXT,YES_WITH_CAVEAT,method-mismatched: DFT versus Zhou04 EAM/alloy,DIRECT_CALCULATION,ACCEPTABLE_FOR_RELATIVE_TRENDS,calc-reference; abs(calc-reference); abs(calc-reference)/abs(reference)*100
